Tarefa,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
T1(A),IF(M),ID(R),EX(U),MEM(M),WB(W), , , , , , , , , , , , , 
T2(A), ,IF(M),ID(R),EX(U),MEM(M),WB(W), , , , , , , , , , , , 
T3(A), , ,IF(M),ID(R),EX(U),MEM(M),WB(W), , , , , , , , , , , 
T4(A), , , ,ST,ST,ST,IF(M),ID(R),EX(U),MEM(M),WB(W), , , , , , , 
T5(A), , , , , , , ,IF(M),ID(R),EX(U),MEM(M),WB(W), , , , , , 
T6(A), , , , , , , , ,IF(M),ID(R),EX(U),MEM(M),WB(W), , , , , 
T7(A), , , , , , , , , ,ST,ST,ST,IF(M),ID(R),EX(U),MEM(M),WB(W), 
T8(A), , , , , , , , , , , , , ,IF(M),ID(R),EX(U),MEM(M),WB(W)
